JDTDB,Calendar_Date,X,Y,Z,VX,VY,VZ
2460810.5,A.D. 2025-May-15 00:00:00.0000,137612749.2987727,-900211883.4167273,53496233.53766495,-23.87692988328511,55.4551923810237,-2.491609667951888
2460810.75,A.D. 2025-May-15 06:00:00.0000,137097001.9611876,-899014014.4586108,53442412.58157212,-23.8774532634133,55.45860164372704,-2.491812298998397
2460811.0,A.D. 2025-May-15 12:00:00.0000,136581243.3162119,-897816071.7561709,53388587.24173725,-23.87797686317135,55.46202056581073,-2.492015570463867
2460811.25,A.D. 2025-May-15 18:00:00.0000,136065473.3591487,-896618055.1003301,53334757.50429577,-23.87850067819035,55.46544918759149,-2.492219485298705
2460811.5,A.D. 2025-May-16 00:00:00.0000,135549692.0853961,-895419964.2811372,53280923.35531867,-23.8790247040474,55.46888754960546,-2.49242404647093
2460811.75,A.D. 2025-May-16 06:00:00.0000,135033899.4904481,-894221799.087764,53227084.78081316,-23.879548936265,55.47233569260968,-2.492629256966357
2460812.0,A.D. 2025-May-16 12:00:00.0000,134518095.5698962,-893023559.3084986,53173241.76672113,-23.88007337031047,55.47579365758345,-2.492835119788673
2460812.25,A.D. 2025-May-16 18:00:00.0000,134002280.3194305,-891825244.7307417,53119394.29891986,-23.8805980015954,55.47926148572993,-2.493041637959625
2460812.5,A.D. 2025-May-17 00:00:00.0000,133486453.7348406,-890626855.1410018,53065542.36322087,-23.88112282547497,55.48273921847753,-2.493248814519106
2460812.75,A.D. 2025-May-17 06:00:00.0000,132970615.8120172,-889428390.3248905,53011685.94537014,-23.88164783724742,55.48622689748152,-2.493456652525317
2460813.0,A.D. 2025-May-17 12:00:00.0000,132454766.5469529,-888229850.067116,52957825.03104717,-23.88217303215341,55.48972456462538,-2.493665155054888
2460813.25,A.D. 2025-May-17 18:00:00.0000,131938905.9357442,-887031234.1514809,52903959.60586494,-23.88269840537537,55.49323226202249,-2.493874325202992
2460813.5,A.D. 2025-May-18 00:00:00.0000,131423033.974592,-885832542.3608742,52850089.65536922,-23.88322395203691,55.49675003201754,-2.494084166083535
2460813.75,A.D. 2025-May-18 06:00:00.0000,130907150.659803,-884633774.4772686,52796215.16503835,-23.88374966720221,55.50027791718816,-2.494294680829245
2460814.0,A.D. 2025-May-18 12:00:00.0000,130391255.9877916,-883434930.2817141,52742336.12028289,-23.8842755458753,55.50381596034644,-2.494505872591841
2460814.25,A.D. 2025-May-18 18:00:00.0000,129875349.9550803,-882236009.5543342,52688452.50644499,-23.88480158299949,55.50736420454045,-2.494717744542132
2460814.5,A.D. 2025-May-19 00:00:00.0000,129359432.558302,-881037012.0743189,52634564.30879831,-23.88532777345666,55.51092269305595,-2.494930299870223
2460814.75,A.D. 2025-May-19 06:00:00.0000,128843503.7942003,-879837937.6199217,52580671.51254725,-23.88585411206666,55.51449146941788,-2.495143541785591
2460815.0,A.D. 2025-May-19 12:00:00.0000,128327563.6596317,-878638785.9684525,52526774.10282654,-23.88638059358655,55.51807057739198,-2.495357473517281
2460815.25,A.D. 2025-May-19 18:00:00.0000,127811612.1515666,-877439556.896274,52472872.0647012,-23.88690721271004,55.52166006098643,-2.495572098314007
2460815.5,A.D. 2025-May-20 00:00:00.0000,127295649.2670905,-876240250.1787949,52418965.38316566,-23.88743396406669,55.52525996445347,-2.495787419444326
2460815.75,A.D. 2025-May-20 06:00:00.0000,126779675.0034059,-875040865.5904661,52365054.04314387,-23.8879608422213,55.52887033229104,-2.496003440196795
2460816.0,A.D. 2025-May-20 12:00:00.0000,126263689.3578332,-873841402.9047744,52311138.02948809,-23.88848784167319,55.5324912092444,-2.496220163880071
2460816.25,A.D. 2025-May-20 18:00:00.0000,125747692.3278124,-872641861.8942372,52257217.32697916,-23.88901495685548,55.53612264030782,-2.496437593823131
2460816.5,A.D. 2025-May-21 00:00:00.0000,125231683.9109043,-871442242.3303978,52203291.92032582,-23.8895421821344,55.53976467072626,-2.496655733375363
2460816.75,A.D. 2025-May-21 06:00:00.0000,124715664.1047925,-870242543.9838189,52149361.79416394,-23.89006951180766,55.54341734600203,-2.496874585906426
2460817.0,A.D. 2025-May-21 12:00:00.0000,124199632.9072841,-869042766.624078,52095426.93305677,-23.89059694010712,55.54708071187765,-2.497094154807609
2460817.25,A.D. 2025-May-21 18:00:00.0000,123683590.3163118,-867842910.0197622,52041487.32149386,-23.89112446119314,55.55075481436313,-2.497314443490396
2460817.5,A.D. 2025-May-22 00:00:00.0000,123167536.3299351,-866642973.9384608,51987542.94389081,-23.89165206915652,55.554439699725,-2.497535455387343
2460817.75,A.D. 2025-May-22 06:00:00.0000,122651470.9463418,-865442958.1467624,51933593.78458911,-23.89217975801772,55.55813541448846,-2.49775719395226
