jd_utc,ra_deg,dec_deg,magnitude,band,obs_code,sigma_ra_arcsec,sigma_dec_arcsec,source,designation
2460744.336734248,204.1715486024722,-4.068371573396199,19.33102170463841,r,T08,0.35,0.35,extended_ATLAS_Chile,
2460744.7535194135,204.77835185650218,-4.5801391190902745,16.624075974457824,r,I41,0.18,0.18,extended_ZTF,
2460745.344349426,203.77157637345059,-4.002394861009665,17.258106405577315,r,691,0.25,0.25,extended_Spacewatch,
2460746.958524419,203.64278197377578,-4.57794327702229,19.005888140480707,r,K91,0.3,0.3,extended_LCOGT,
2460747.8910803515,203.70746408070593,-4.657623847776189,20.0666661036718,r,309,0.1,0.1,extended_VLT,
2460748.8265848034,203.7627590783344,-4.05514505101347,17.426097460761536,r,C51,1.5,1.5,extended_NEOWISE,
2460750.1372599,203.85702591897365,-3.5725986407238897,18.33769295676301,r,691,0.25,0.25,extended_Spacewatch,
2460750.3688893807,203.7361732519879,-4.038283449374583,16.684103457825298,r,C51,1.5,1.5,extended_NEOWISE,
2460750.6809329037,204.24167970483978,-4.100133308067211,19.1982210194502,r,568,0.08,0.08,extended_Keck,
2460755.520790254,203.56086482394437,-3.8292190220098767,19.08674923809728,r,G96,0.35,0.35,extended_MtLemmon,
2460756.1727652415,204.33516644156282,-4.63871113695131,18.381375391772764,r,W84,0.12,0.12,extended_DECam,
2460756.244655587,204.3666846276979,-4.332571579185736,17.563003699670947,r,T08,0.35,0.35,extended_ATLAS_archive,
2460757.355090909,203.6056039243761,-4.836734253141078,19.567709948429044,r,807,0.15,0.15,extended_SOAR,
2460757.594177846,204.5021614534071,-4.431048821437061,17.8383785797091,r,F51,0.25,0.25,extended_PS1,
2460758.5427125767,204.5408231383297,-4.560573663019616,17.42946295996485,r,I41,0.18,0.18,extended_ZTF,
2460758.7901730537,204.27991939156288,-4.579076505458832,17.27362874023694,r,T08,0.35,0.35,extended_ATLAS_Chile,
2460760.677661618,203.72230900604475,-4.341150398733081,18.651205114286935,r,F51,0.35,0.35,extended_ATLAS_Hawaii,
2460761.471079798,203.7503228527045,-4.291301285737842,16.347212171007506,r,691,0.25,0.25,extended_Spacewatch,
2460762.5224361513,203.6950097889576,-4.064642724326808,17.792974948812475,r,568,0.1,0.1,extended_Gemini_N,
2460763.576125487,203.4524842196623,-4.5567878844112455,16.94383609254323,r,T08,0.35,0.35,extended_ATLAS_archive,
2460763.9007876255,203.87445436815707,-3.715800252850142,20.21245027120922,r,I41,0.18,0.18,extended_ZTF,
2460765.400133439,205.01055705567265,-3.896941323955559,18.96568028798239,r,I41,0.18,0.18,extended_ZTF,
2460765.459368218,204.5810717430217,-4.522204983813134,19.452128177980573,r,K91,0.3,0.3,extended_LCOGT,
2460766.918313619,203.5210174751035,-4.659414462421926,18.724951139689125,r,G96,0.35,0.35,extended_MtLemmon,
2460766.952090401,204.34637618149355,-3.8256830918330436,19.101495530832423,r,T08,0.35,0.35,extended_ATLAS_Chile,
2460767.0257300045,203.78885820037502,-4.786090015082038,16.492132688343133,r,G96,0.35,0.35,extended_MtLemmon,
2460767.1149277613,204.48698473680832,-4.032536671951854,16.29797303943202,r,T05,0.35,0.35,extended_ATLAS_SA,
2460768.735465687,204.02086977724431,-3.9383068057198147,16.46533966996818,r,G96,0.35,0.35,extended_MtLemmon,
2460768.975087732,203.89434819300376,-4.31923156222265,16.647390424547382,r,C51,1.5,1.5,extended_NEOWISE,
2460769.9470941653,204.06186199728776,-3.9296912326607853,17.795738152152477,r,T08,0.35,0.35,extended_ATLAS_Chile,
2460770.0183486785,204.2688567463525,-3.962858998265025,17.387479165863116,r,C51,1.5,1.5,extended_NEOWISE,
2460771.6935480656,203.74633884020878,-4.482399313554038,17.85559526686055,r,568,0.15,0.15,extended_CFHT,
2460771.927389869,203.40422310834913,-4.704870123989112,18.632458592072936,r,568,0.1,0.1,extended_Gemini_N,
2460772.2138115685,203.81164820650213,-4.551383440683519,19.505057862297587,r,691,0.25,0.25,extended_Spacewatch,
2460772.7739655105,203.20056383784703,-4.462374466058094,18.19389060054549,r,T08,0.35,0.35,extended_ATLAS_Chile,
2460773.9141493677,204.83562373581765,-4.792395802120954,19.897626107414922,r,309,0.1,0.1,extended_VLT,
2460775.236087336,203.8872256540438,-4.694421066609825,19.86333567557619,r,T08,0.35,0.35,extended_ATLAS_Chile,
2460776.855355295,204.31448319251948,-4.8465294069684175,17.086754023697264,r,W84,0.12,0.12,extended_DECam,
2460776.975357782,204.13523007324736,-4.2231799047687115,18.021293194986704,r,C51,1.5,1.5,extended_NEOWISE,
2460777.1197487456,204.0867672225391,-3.483271908051042,16.03449095109238,r,G96,0.35,0.35,extended_MtLemmon,
2460778.998458341,203.83063517195123,-4.0365901132271595,16.92263454588735,r,T08,0.35,0.35,extended_ATLAS_archive,
2460780.2862963285,203.19448249328423,-4.152824147148071,17.936803994458028,r,I41,0.18,0.18,extended_ZTF_precovery,
2460781.04052378,203.9315132055353,-4.510435254769993,17.917572200506882,r,W84,0.12,0.12,extended_DECam,
2460782.0602750108,203.82097263757714,-3.490068039706356,18.364752660987516,r,T05,0.35,0.35,extended_ATLAS_SA,
2460786.3763580117,204.52024600095973,-3.9940986646484915,18.20705581546202,r,703,0.4,0.4,extended_Catalina,
2460786.6849314244,204.16551746476918,-4.435442973699378,17.44105610190488,r,I41,0.18,0.18,extended_ZTF_precovery,
2460787.0429303907,204.2755333325078,-4.130237903626193,19.189643441061328,r,703,0.4,0.4,extended_Catalina,
2460788.433761228,203.26395450367326,-4.221537141882729,18.005862475231968,r,568,0.15,0.15,extended_CFHT,
2460788.7972368975,205.27443348060206,-3.851766720161827,17.841232403449318,r,807,0.15,0.15,extended_SOAR,
2460789.670973464,203.80072010021163,-4.231697191437587,19.302575427443724,r,I41,0.18,0.18,extended_ZTF,
2460790.1421952746,204.0431994761749,-4.40726093274613,17.036588328806182,r,T08,0.35,0.35,extended_ATLAS_archive,
2460790.678177998,204.40942052839793,-4.615611906071498,19.864492003045914,r,I41,0.18,0.18,extended_ZTF,
