JDTDB,X,Y,Z,VX,VY,VZ
2460796.5,-115284454.4220013,-98728563.91832735,31107.374168574814,1631840.8862455527,-1966216.0615675864,89.10842551770772
2460796.75,-114875459.56773451,-99219230.82425998,31129.592803992327,1640112.759917959,-1959113.495060595,88.64033164622924
2460797.0,-114464400.64162639,-99708117.8262181,31151.694171808664,1648353.4386030037,-1951976.8528946014,88.1702866999035
2460797.25,-114051285.4591771,-100195216.42264877,31173.677785754207,1656562.7883798312,-1944806.274042251,87.69830270244371
2460797.5,-113636121.86928777,-100680518.1468008,31195.543162561953,1664740.6759620833,-1937601.897944269,87.2243915182537
2460797.75,-113218917.75410162,-101164014.56684132,31217.289821885523,1672886.9686990087,-1930363.8645066943,86.74856484720976
2460798.0,-112799681.02884498,-101645697.28597194,31238.917286314074,1681001.5345765348,-1923092.3140981097,86.2708342177541
2460798.25,-112378419.64166811,-102125557.94254388,31260.425081282854,1689084.2422183068,-1915787.387546899,85.79121099088525
2460798.5,-111955141.57348539,-102603588.2101727,31281.81273502856,1697134.9608866777,-1908449.2261384793,85.30970635800942
2460798.75,-111529854.8378158,-103079779.79785207,31303.07977859676,1705153.5604836938,-1901077.9716125454,84.8263313452378
2460799.0,-111102567.48062271,-103554124.45006719,31324.225745745007,1713139.9115520339,-1893673.7661603284,84.34109681745385
2460799.25,-110673287.58015361,-104026613.94690716,31345.250172935423,1721093.8852759618,-1886236.75242183,83.85401348145933
2460799.5,-110242023.24677967,-104497240.10417685,31366.152599297468,1729015.353482263,-1878767.0734830915,83.36509188704896
2460799.75,-109808782.62283489,-104965994.77350822,31386.93256655336,1736904.1886412003,-1871264.8728734672,82.87434242647294
2460800.0,-109373573.88245526,-105432869.84247063,31407.58961904049,1744760.2638674825,-1863730.2945629226,82.38177532660984
2460800.25,-108936405.23141731,-105897857.23468071,31428.123303592205,1752583.4529212776,-1856163.4829594044,81.88740063500006
2460800.5,-108497284.9069769,-106360948.90991166,31448.53316953779,1760373.6302092636,-1848564.5829062427,81.39122819352451
2460800.75,-108056221.17770764,-106822136.86420128,31468.8187687397,1768130.6707805959,-1840933.7396770304,80.89326830173322
2460801.0,-107613222.34333973,-107281413.12995972,31488.979655541483,1775854.450335905,-1833271.0989765294,80.39353066038473
2460801.25,-107168296.73459722,-107738769.77607666,31509.015386737887,1783544.8452227975,-1825576.8069355686,79.89202503945592
2460801.5,-106721452.71303613,-108194198.9080275,31528.925521545112,1791201.7324378348,-1817851.0101087312,79.3887611598109
2460801.75,-106272698.67088223,-108647692.667979,31548.70962160826,1798824.9896272803,-1810093.8554715284,78.88374870563268
2460802.0,-105822043.03086837,-109099243.23489407,31568.367250986394,1806414.4950878366,-1802305.4904175545,78.37699734076864
2460802.25,-105369494.24607186,-109548842.82463598,31587.8979761675,1813970.1277673761,-1794486.0627556434,77.86851672024113
2460802.5,-104915060.79975161,-109996483.69007187,31607.301366046067,1821491.7672656623,-1786635.7207070095,77.35831650782075
2460802.75,-104458751.20518494,-110442158.12117535,31626.57699193061,1828979.2938350798,-1778754.612902378,76.8464063866162
2460803.0,-104000574.00550449,-110885858.44512871,31645.724427558478,1836432.5883813452,-1770842.8883791072,76.33279607296402
2460803.25,-103540537.7735347,-111327577.026424,31664.743249095976,1843851.5324642253,-1762900.6965783078,75.81749533131587
2460803.5,-103078651.11162826,-111767306.2669638,31683.633035175502,1851236.0082982406,-1754928.1873419401,75.30051398344712
2460803.75,-102614922.65150231,-112205038.60616092,31702.39336686581,1858585.8987533755,-1746925.510909919,74.78186192088856
2460804.0,-102149361.05407445,-112640766.52103761,31721.023827739067,1865901.0873557893,-1738892.8179172098,74.2615491154396
2460804.25,-101681975.00929871,-113074482.52632396,31739.52400386334,1873181.4582885068,-1730830.2593909008,73.73958562891403
2460804.5,-101212773.23600112,-113506179.17455553,31757.893483847383,1880426.8963921266,-1722737.9867472954,73.2159816202767
2460804.75,-100741764.48171532,-113935849.05617031,31776.13185881824,1887637.2871655186,-1714616.1517889763,72.69074735354765
2460805.0,-100268957.5225179,-114363484.7996049,31794.23872253299,1894812.5167665195,-1706464.9067018796,72.16389320455505
2460805.25,-99794361.16286348,-114789079.07139,31812.213671311732,1901952.4720126295,-1698284.4040523558,71.63542966553962
