JDTDB,Calendar_Date,X,Y,Z
2460810.5,A.D. 2025-May-15 00:00:00.0000,138324650.73913985,-899419717.4546434,53471846.364438236
2460810.75,A.D. 2025-May-15 06:00:00.0000,137808631.88928944,-898221766.6275941,53418030.1550507
2460811.0,A.D. 2025-May-15 12:00:00.0000,137292601.72487488,-897023742.135862,53364209.56317315
2460811.25,A.D. 2025-May-15 18:00:00.0000,136776560.24108025,-895825643.7704022,53310384.57494428
2460811.5,A.D. 2025-May-16 00:00:00.0000,136260507.43318513,-894627471.321298,53256555.17643812
2460811.75,A.D. 2025-May-16 06:00:00.0000,135744443.29656556,-893429224.5777587,53202721.353664726
2460812.0,A.D. 2025-May-16 12:00:00.0000,135228367.82669583,-892230903.3281119,53148883.09256862
2460812.25,A.D. 2025-May-16 18:00:00.0000,134712281.01914942,-891032507.3598006,53095040.37902948
2460812.5,A.D. 2025-May-17 00:00:00.0000,134196182.86960022,-889834036.4593778,53041193.19886102
2460812.75,A.D. 2025-May-17 06:00:00.0000,133680073.37382407,-888635490.4125022,52987341.53781113
2460813.0,A.D. 2025-May-17 12:00:00.0000,133163952.52769966,-887436869.0039316,52933485.381561
2460813.25,A.D. 2025-May-17 18:00:00.0000,132647820.32721062,-886238172.0175207,52879624.71572504
2460813.5,A.D. 2025-May-18 00:00:00.0000,132131676.76844613,-885039399.236213,52825759.52585019
2460813.75,A.D. 2025-May-18 06:00:00.0000,131615521.8476024,-883840550.4420385,52771889.79741567
2460814.0,A.D. 2025-May-18 12:00:00.0000,131099355.56098458,-882641625.4161068,52718015.51583265
2460814.25,A.D. 2025-May-18 18:00:00.0000,130583177.90500742,-881442623.9386036,52664136.66644361
2460814.5,A.D. 2025-May-19 00:00:00.0000,130066988.87619747,-880243545.7887836,52610253.23452222
2460814.75,A.D. 2025-May-19 06:00:00.0000,129550788.47119366,-879044390.7449672,52556365.20527259
2460815.0,A.D. 2025-May-19 12:00:00.0000,129034576.68674947,-877845158.5845343,52502472.563828886
2460815.25,A.D. 2025-May-19 18:00:00.0000,128518353.51973408,-876645849.0839196,52448575.29525517
2460815.5,A.D. 2025-May-20 00:00:00.0000,128002118.96713375,-875446462.0186064,52394673.38454464
2460815.75,A.D. 2025-May-20 06:00:00.0000,127485873.02605365,-874246997.1631228,52340766.81661967
2460816.0,A.D. 2025-May-20 12:00:00.0000,126969615.69371906,-873047454.2910346,52286855.57633058
