JDTDB,Calendar_Date,X,Y,Z,VX,VY,VZ
2460810.5,A.D. 2025-May-15 00:00:00.0000,5241198.660574055,766366122.2132812,-3295545.247114539,-13.21674687784782,0.712866130640206,0.2928311348969124
2460810.75,A.D. 2025-May-15 06:00:00.0000,4955709.113195725,766381468.9847674,-3289219.920121849,-13.2175029765824,0.7080370788989288,0.2928435516199217
2460811.0,A.D. 2025-May-15 12:00:00.0000,4670203.008291092,766396705.0470531,-3282894.55175662,-13.21819287389575,0.7026167545424415,0.2928362254376277
2460811.25,A.D. 2025-May-15 18:00:00.0000,4384687.020783778,766411819.2851027,-3276569.437266231,-13.21836091204041,0.6968256705512859,0.2928232568718633
2460811.5,A.D. 2025-May-16 00:00:00.0000,4099174.680148023,766426808.8906081,-3270244.484081268,-13.21786944047175,0.691168306286906,0.2928243071979868
2460811.75,A.D. 2025-May-16 06:00:00.0000,3813677.710731246,766441682.0760168,-3263919.238132954,-13.21701944873727,0.6860967610975439,0.292850979319309
2460812.0,A.D. 2025-May-16 12:00:00.0000,3528198.000060546,766456453.0656735,-3257593.174807727,-13.21636376332009,0.6816746042635409,0.292897556738422
2460812.25,A.D. 2025-May-16 18:00:00.0000,3242726.405523752,766471132.3608304,-3251266.060437143,-13.21630144025735,0.6775167261839048,0.2929446278090557
2460812.5,A.D. 2025-May-17 00:00:00.0000,2957249.728851279,766485719.7557102,-3244938.099952161,-13.21678765420644,0.6730857193310875,0.2929737414607146
2460812.75,A.D. 2025-May-17 06:00:00.0000,2671760.274937992,766500205.4602504,-3238609.759804308,-13.21739746323878,0.6680862990249093,0.2929805172461195
2460813.0,A.D. 2025-May-17 12:00:00.0000,2386260.813533336,766514577.8465387,-3232281.420575738,-13.21764838422878,0.6626488168332741,0.2929765974400966
2460813.25,A.D. 2025-May-17 18:00:00.0000,2100762.047366065,766528831.9636695,-3225953.108789027,-13.217333962366,0.6572217365076327,0.2929810715020174
2460813.5,A.D. 2025-May-18 00:00:00.0000,1815274.541364226,766542973.1995537,-3219624.480305612,-13.21667492912208,0.6522507084043138,0.2930068943735715
2460813.75,A.D. 2025-May-18 06:00:00.0000,1529800.583125738,766557013.3222084,-3213295.076586008,-13.21616553753696,0.6478367130387086,0.2930508560075467
2460814.0,A.D. 2025-May-18 12:00:00.0000,1244332.261940506,766570961.385942,-3206964.676515996,-13.21618614667613,0.6436445594980257,0.2930957667702736
2460814.25,A.D. 2025-May-18 18:00:00.0000,958857.6911596574,766584816.7002906,-3200633.460591376,-13.21670016381233,0.6391736296157058,0.2931243374128524
2460814.5,A.D. 2025-May-19 00:00:00.0000,673370.2013270211,766598569.569855,-3194301.857086062,-13.21729716017306,0.6341460865936885,0.2931323721128278
2460814.75,A.D. 2025-May-19 06:00:00.0000,387873.3424738108,766612208.7356405,-3187970.209099174,-13.21750282582299,0.6287029470458337,0.2931313741935653
2460815.0,A.D. 2025-May-19 12:00:00.0000,102378.455594905,766625729.8735489,-3181638.508265495,-13.21711651941963,0.623306983258832,0.2931403705466612
2460815.25,A.D. 2025-May-19 18:00:00.0000,-183103.4428734113,766639139.405717,-3175306.374550641,-13.21637357189035,0.6184272529411239,0.2931724453246269
2460815.5,A.D. 2025-May-20 00:00:00.0000,-468570.1728181285,766652450.6397113,-3168973.313314736,-13.2158064135712,0.6141843659828089,0.2932241429489618
2460815.75,A.D. 2025-May-20 06:00:00.0000,-754030.8180197577,766665674.3440667,-3162639.083283246,-13.21585382713412,0.6102356990614972,0.2932769446520477
2460816.0,A.D. 2025-May-20 12:00:00.0000,-1039499.704319622,766678810.9077153,-3156303.888109326,-13.21653147768143,0.6060285067978523,0.2933109451243662
2460816.25,A.D. 2025-May-20 18:00:00.0000,-1324986.678667463,766691850.21304,-3149968.24127686,-13.21744139406653,0.6012028252429787,0.2933190418933495
2460816.5,A.D. 2025-May-21 00:00:00.0000,-1610491.08832891,766704778.7500118,-3143632.625901759,-13.21807015997242,0.5958178574145148,0.2933107589344096
2460816.75,A.D. 2025-May-21 06:00:00.0000,-1896003.140372613,766717588.488031,-3137297.196916282,-13.21813527246545,0.5902884564237147,0.2933050596489145
2460817.0,A.D. 2025-May-21 12:00:00.0000,-2181511.396808748,766730281.6558249,-3130961.716108561,-13.21777679910677,0.5850877663062328,0.2933170318042693
2460817.25,A.D. 2025-May-21 18:00:00.0000,-2467011.362646799,766742868.0198991,-3124625.770324826,-13.21745326731501,0.580390017492501,0.293346607434317
2460817.5,A.D. 2025-May-22 00:00:00.0000,-2752508.67571119,766755356.2420812,-3118289.124843597,-13.21757321185547,0.5759255918378323,0.2933785760824523
2460817.75,A.D. 2025-May-22 06:00:00.0000,-3038013.972736219,766767746.1176803,-3111951.928669572,-13.21815734421914,0.5712054747775719,0.2933953076438775
2460818.0,A.D. 2025-May-22 12:00:00.0000,-3323533.717065114,766780028.090611,-3105614.604400933,-13.21882686570808,0.5659130793002936,0.2933908402478967
2460818.25,A.D. 2025-May-22 18:00:00.0000,-3609064.287735814,766792190.0185386,-3099277.5264377,-13.21908730994355,0.5601412358289488,0.2933753097083424
2460818.5,A.D. 2025-May-23 00:00:00.0000,-3894593.343329032,766804225.9465609,-3092940.729888797,-13.21867652379692,0.5543378806501842,0.2933681396250676
2460818.75,A.D. 2025-May-23 06:00:00.0000,-4180107.419985765,766816140.9543685,-3086603.846408904,-13.217765546617,0.549015066093964,0.2933848969759598
2460819.0,A.D. 2025-May-23 12:00:00.0000,-4465600.927563605,766827948.4808757,-3080266.32617569,-13.2168693583986,0.544380773936293,0.2934255130300458
2460819.25,A.D. 2025-May-23 18:00:00.0000,-4751079.915182535,766839661.3294563,-3073927.809784651,-13.21647802470293,0.5401706587583854,0.2934735470776871
2460819.5,A.D. 2025-May-24 00:00:00.0000,-5036557.263056565,766851283.0284625,-3067588.365652084,-13.21669370773661,0.5358511199310942,0.2935085599337536
2460819.75,A.D. 2025-May-24 06:00:00.0000,-5322043.098614062,766862806.320773,-3061248.406231582,-13.21718339734677,0.531021438242783,0.2935210846057701
2460820.0,A.D. 2025-May-24 12:00:00.0000,-5607537.896936604,766874219.3659314,-3054908.367935956,-13.2174451667872,0.5256792944812925,0.2935182921810286
2460820.25,A.D. 2025-May-24 18:00:00.0000,-5893032.6914247,766885514.6645099,-3048568.39526695,-13.21716092177024,0.5202021301778583,0.2935183176551907
2460820.5,A.D. 2025-May-25 00:00:00.0000,-6178515.887026285,766896694.7004179,-3042228.235527277,-13.21642295604965,0.5150772358716528,0.2935374244699688
2460820.75,A.D. 2025-May-25 06:00:00.0000,-6463982.113069934,766907770.328512,-3035887.421368062,-13.21567860035417,0.510536608033981,0.2935777530643277
2460821.0,A.D. 2025-May-25 12:00:00.0000,-6749436.556107263,766918752.5948261,-3029545.623896718,-13.21538671158022,0.5063626887962631,0.2936252265478094
2460821.25,A.D. 2025-May-25 18:00:00.0000,-7034890.931648388,766929644.2561163,-3023202.899240553,-13.21565050962689,0.5020625335863576,0.2936608969171182
2460821.5,A.D. 2025-May-26 00:00:00.0000,-7320354.39609654,766940437.951513,-3016859.627521276,-13.21614955518641,0.4972565525830427,0.2936757178339282
2460821.75,A.D. 2025-May-26 06:00:00.0000,-7605826.687261492,766951122.0658668,-3010516.209867597,-13.21639045787019,0.4919541102374806,0.2936768164560912
2460822.0,A.D. 2025-May-26 12:00:00.0000,-7891298.237675206,766961689.5690322,-3004172.757497907,-13.21605936331872,0.4865451696522206,0.2936822491201293
2460822.25,A.D. 2025-May-26 18:00:00.0000,-8176756.964125861,766972143.7872092,-2997828.983460188,-13.21525782791122,0.4815396206706456,0.2937084457513338
2460822.5,A.D. 2025-May-27 00:00:00.0000,-8462197.417419054,766982496.9564648,-2991484.38321799,-13.21446356038588,0.4771939289817095,0.2937575379996819
2460822.75,A.D. 2025-May-27 06:00:00.0000,-8747625.639029622,766992761.8695017,-2985138.599304378,-13.21419080811654,0.4732954261254865,0.2938145265812518
2460823.0,A.D. 2025-May-27 12:00:00.0000,-9033055.507942338,767002942.6909217,-2978791.694463193,-13.21460246289672,0.4693127869859222,0.2938581421443756
2460823.25,A.D. 2025-May-27 18:00:00.0000,-9318499.354002267,767013032.1971251,-2972444.114988387,-13.21540738119551,0.4647904306404741,0.2938763296662312
2460823.5,A.D. 2025-May-28 00:00:00.0000,-9603960.197570251,767023017.0828104,-2966096.390117288,-13.21609075657136,0.4596500715773717,0.293873708418366
2460823.75,A.D. 2025-May-28 06:00:00.0000,-9889430.735312376,767032886.9372879,-2959748.796634018,-13.21626889570031,0.4542182091034249,0.2938675165967233
2460824.0,A.D. 2025-May-28 12:00:00.0000,-10174899.32149794,767042640.8155371,-2953401.208377719,-13.21594852616409,0.448988415340472,0.2938754560585366
2460824.25,A.D. 2025-May-28 18:00:00.0000,-10460358.92803028,767052286.9276525,-2947053.233589351,-13.21552227119481,0.4442548472742768,0.2939026780648538
2460824.5,A.D. 2025-May-29 00:00:00.0000,-10745812.57412606,767061835.239378,-2940704.555368245,-13.2154580198306,0.4398725786026142,0.2939376024422583
2460824.75,A.D. 2025-May-29 06:00:00.0000,-11031270.55936258,767071288.5920599,-2934355.210011065,-13.21591177056208,0.4353771777306742,0.2939616016282841
2460825.0,A.D. 2025-May-29 12:00:00.0000,-11316741.74492384,767080639.6897192,-2928005.573141694,-13.21660517875382,0.4303613586720298,0.2939641082764713
2460825.25,A.D. 2025-May-29 18:00:00.0000,-11602226.00147421,767089876.0511588,-2921656.079238772,-13.21703922209605,0.4247833853596755,0.2939505725640014
2460825.5,A.D. 2025-May-30 00:00:00.0000,-11887713.21997067,767098988.8313446,-2915306.895815313,-13.21684603206045,0.4190035503214199,0.2939388156127722
2460825.75,A.D. 2025-May-30 06:00:00.0000,-12173189.34359334,767107979.4486148,-2908957.774108887,-13.21605594287838,0.4135561152081246,0.2939471915855004
2460826.0,A.D. 2025-May-30 12:00:00.0000,-12458645.67157623,767116859.3817997,-2902608.187828779,-13.21510804016827,0.4087759976251619,0.2939812054668849
2460826.25,A.D. 2025-May-30 18:00:00.0000,-12744084.87003684,767125642.5794145,-2896257.6872949,-13.2145459552042,0.4045389498785069,0.2940286129283552
2460826.5,A.D. 2025-May-31 00:00:00.0000,-13029518.7034975,767134335.8367813,-2889906.207989216,-13.21461232785147,0.4003543546333587,0.2940684779158024
2460826.75,A.D. 2025-May-31 06:00:00.0000,-13314959.15886122,767142934.721276,-2883554.088110805,-13.21509074123484,0.3957425703609155,0.2940868374856747
2460827.0,A.D. 2025-May-31 12:00:00.0000,-13600410.0607318,767151427.7475861,-2877201.799525797,-13.21549390914169,0.3905668944534192,0.2940858435671189
2460827.25,A.D. 2025-May-31 18:00:00.0000,-13885864.91923109,767159805.1043257,-2870849.60521394,-13.21541350254565,0.3851064175639327,0.2940813946140689
2460827.5,A.D. 2025-Jun-01 00:00:00.0000,-14171312.02119918,767168065.8767587,-2864497.373068273,-13.2148061017596,0.3798535388577556,0.294091855807223
2460827.75,A.D. 2025-Jun-01 06:00:00.0000,-14456743.34034243,767176218.8657993,-2858144.672354162,-13.21403682512884,0.3751526011925112,0.2941245494322763
2460828.0,A.D. 2025-Jun-01 12:00:00.0000,-14742160.91931695,767184275.943705,-2851791.100810349,-13.21360579698587,0.3709207060003051,0.2941696384298683
2460828.25,A.D. 2025-Jun-01 18:00:00.0000,-15027575.35253525,767192242.8006377,-2845436.594028592,-13.2137475810604,0.3667109703402407,0.294207997923878
2460828.5,A.D. 2025-Jun-02 00:00:00.0000,-15312997.51746693,767200114.6646311,-2839081.463112533,-13.21425504059221,0.3620699421349848,0.2942263943851783
2460828.75,A.D. 2025-Jun-02 06:00:00.0000,-15598430.3385906,767207880.1266233,-2832726.144796908,-13.21464968418669,0.356874949013595,0.2942270828684686
2460829.0,A.D. 2025-Jun-02 12:00:00.0000,-15883866.56004709,767215529.711164,-2826370.867242157,-13.21452644545202,0.3514172052291898,0.2942259179392178
2460829.25,A.D. 2025-Jun-02 18:00:00.0000,-16169293.76510678,767223063.1963633,-2820015.461945713,-13.21384720431543,0.3462109415439653,0.2942414655166915
2460829.5,A.D. 2025-Jun-03 00:00:00.0000,-16454703.50247025,767230490.6300919,-2813659.456835032,-13.21299959396296,0.3416283136858317,0.2942812288797167
2460829.75,A.D. 2025-Jun-03 06:00:00.0000,-16740098.1638459,767237825.6597154,-2807302.410050035,-13.21253375950945,0.3376029410528694,0.2943348729410697
2460830.0,A.D. 2025-Jun-03 12:00:00.0000,-17025489.98163473,767245075.7180078,-2800944.243274212,-13.21274827788982,0.3336650734630022,0.2943813530338831
2460830.25,A.D. 2025-Jun-03 18:00:00.0000,-17310892.69748377,767252236.8007231,-2794585.30778861,-13.21348034951409,0.3292955060764292,0.2944044865374756
2460830.5,A.D. 2025-Jun-04 00:00:00.0000,-17596312.58943018,767259296.5451086,-2788226.145926476,-13.21424897312754,0.3242832412222243,0.2944036508680898
2460830.75,A.D. 2025-Jun-04 06:00:00.0000,-17881745.12502676,767266242.6930577,-2781867.140710592,-13.21459502445526,0.3188439694043158,0.294393180003087
2460831.0,A.D. 2025-Jun-04 12:00:00.0000,-18167179.02083836,767273070.9994596,-2775508.290301085,-13.21439086032075,0.313456656918878,0.2943921443245419
2460831.25,A.D. 2025-Jun-04 18:00:00.0000,-18452604.92713814,767279787.3254547,-2769149.25547266,-13.21393247268905,0.3085135263012684,0.2944105603024749
2460831.5,A.D. 2025-Jun-05 00:00:00.0000,-18738022.65342325,767286402.0349811,-2762789.661228478,-13.21370924608586,0.3040072965012338,0.2944414619764294
2460831.75,A.D. 2025-Jun-05 06:00:00.0000,-19023440.98609703,767292920.7116095,-2756429.425751984,-13.21400034364939,0.2995364571047304,0.2944667533692727
2460832.0,A.D. 2025-Jun-05 12:00:00.0000,-19308870.12418927,767299338.8291868,-2750068.845106781,-13.2146490920168,0.2946348003920601,0.2944720861821419
2460832.25,A.D. 2025-Jun-05 18:00:00.0000,-19594313.02587154,767305644.4901862,-2743708.375986457,-13.21518737741964,0.2891309757370392,0.2944578942872539
2460832.5,A.D. 2025-Jun-06 00:00:00.0000,-19879762.12193185,767311826.6846344,-2737348.297575474,-13.21516867513517,0.2832755460762885,0.2944392291759933
2460832.75,A.D. 2025-Jun-06 06:00:00.0000,-20165203.39660133,767317883.2275577,-2730988.488291323,-13.21448336871709,0.2775886457148582,0.2944359280749517
2460833.0,A.D. 2025-Jun-06 12:00:00.0000,-20450625.33926724,767323822.9867663,-2724628.473489702,-13.21346432794283,0.2725078343525849,0.2944586366191929
2460833.25,A.D. 2025-Jun-06 18:00:00.0000,-20736026.71854893,767329660.2375667,-2718267.73565805,-13.21266917470023,0.268059591434701,0.2945002481417501
2460833.5,A.D. 2025-Jun-07 00:00:00.0000,-21021417.02662899,767335404.7968502,-2711906.070333719,-13.21246563033986,0.2638345864947104,0.294540906618976
2460833.75,A.D. 2025-Jun-07 06:00:00.0000,-21306809.00321697,767341055.657928,-2705543.705117702,-13.21277280396808,0.259309038699726,0.2945631185388886
2460834.0,A.D. 2025-Jun-07 12:00:00.0000,-21592209.35363565,767346602.7849567,-2699181.10260123,-13.21315419194811,0.254220728758496,0.2945638124272252
