designation,jd_utc,ra_deg,dec_deg,magnitude,band,obs_code,year,source,raw_line
0003I,2460804.017659,288.14829166666664,-18.705930555555554,21.57,V,C57,2025,mpc_real,0003I         S2025 05 08.51765919 12 35.590-18 42 21.35         21.57VV#0K4XC57
0003I,2460806.103515,287.86289166666666,-18.68936111111111,21.64,V,C57,2025,mpc_real,0003I         S2025 05 10.60351519 11 27.094-18 41 21.70         21.64VV#0K4XC57
0003I,2460808.189361,287.5490625,-18.680433333333333,21.82,V,C57,2025,mpc_real,0003I         S2025 05 12.68936119 10 11.775-18 40 49.56         21.82VV#0K4XC57
0003I,2460810.490495,287.17737916666664,-18.67850277777778,21.39,V,C57,2025,mpc_real,0003I         S2025 05 14.99049519 08 42.571-18 40 42.61         21.39VV#0K4XC57
0003I,2460810.921174,287.11769166666664,-18.694300000000002,19.22,r,I41,2025,mpc_real,0003I         C2025 05 15.42117419 08 28.246-18 41 39.48         19.22rU#0K4XI41
0003I,2460812.576322,286.8209583333333,-18.681144444444445,20.81,V,C57,2025,mpc_real,0003I         S2025 05 17.07632219 07 17.030-18 40 52.12         20.81VV#0K4XC57
0003I,2460816.866015,286.04635,-18.701291666666666,20.8,V,C57,2025,mpc_real,0003I         S2025 05 21.36601519 04 11.124-18 42 04.65         20.80VV#0K4XC57
0003I,2460817.873611,285.832075,-18.699697222222223,20.49,g,I41,2025,mpc_real,0003I         C2025 05 22.37361119 03 19.698-18 41 58.91         20.49gU#0Jm9I41
0003I,2460817.8738,285.8322958333334,-18.699669444444446,20.52,g,I41,2025,mpc_real,0003I         C2025 05 22.37380019 03 19.751-18 41 58.81         20.52gU#0K4XI41
0003I,2460817.896817,285.8270791666667,-18.699816666666667,20.1,r,I41,2025,mpc_real,0003I         C2025 05 22.39681719 03 18.499-18 41 59.34         20.10rU#0Jm9I41
0003I,2460817.897006,285.8270791666667,-18.699791666666666,20.1,r,I41,2025,mpc_real,0003I         C2025 05 22.39700619 03 18.499-18 41 59.25         20.10rU#0K4XI41
0003I,2460818.07214,285.8043791666667,-18.698238888888888,20.52,V,C57,2025,mpc_real,0003I         S2025 05 22.57214019 03 13.051-18 41 53.66         20.52VV#0K4XC57
0003I,2460819.278263,285.54715000000004,-18.693986111111112,20.49,V,C57,2025,mpc_real,0003I         S2025 05 23.77826319 02 11.316-18 41 38.35         20.49VV#0K4XC57
0003I,2460820.48438,285.2784208333333,-18.69101388888889,20.5,V,C57,2025,mpc_real,0003I         S2025 05 24.98438019 01 06.821-18 41 27.65         20.50VV#0K4XC57
0003I,2460821.690493,284.9998625,-18.689877777777777,20.39,V,C57,2025,mpc_real,0003I         S2025 05 26.19049318 59 59.967-18 41 23.56         20.39VV#0K4XC57
