JDTDB,Calendar_Date,X,Y,Z,VX,VY,VZ
2460810.5,A.D. 2025-May-15 00:00:00.0000,1424614976.978535,-154342153.7807906,-54037730.12770091,0.5052724257164314,9.584098304033532,-0.1873570539059046
2460810.75,A.D. 2025-May-15 06:00:00.0000,1424625874.610965,-154135135.2326846,-54041776.55456435,0.5037657043957996,9.584284749582602,-0.1873113750436115
2460811.0,A.D. 2025-May-15 12:00:00.0000,1424636739.570865,-153928112.7516585,-54045821.93368581,0.5022472091219901,9.584461247548164,-0.1872594327438413
2460811.25,A.D. 2025-May-15 18:00:00.0000,1424647571.620315,-153721086.6278356,-54049866.09320479,0.5007191415248254,9.584620917690078,-0.1871979334003151
2460811.5,A.D. 2025-May-16 00:00:00.0000,1424658370.618578,-153514057.2945368,-54053908.79699765,0.4991886043369964,9.584757615479976,-0.1871243964528393
2460811.75,A.D. 2025-May-16 06:00:00.0000,1424669136.63894,-153307025.2775694,-54057949.78275208,0.4976679452342516,9.584869831573311,-0.1870393202838203
2460812.0,A.D. 2025-May-16 12:00:00.0000,1424679870.032049,-153099991.0383145,-54061988.8504342,0.496168764921292,9.584965574053326,-0.1869480448686591
2460812.25,A.D. 2025-May-16 18:00:00.0000,1424690571.28492,-152892954.782474,-54066025.94515746,0.4946907852227366,9.585058589050835,-0.1868575479187355
2460812.5,A.D. 2025-May-17 00:00:00.0000,1424701240.752096,-152685916.4713531,-54070061.12272921,0.4932237045974592,9.58515623695015,-0.1867705206543357
2460812.75,A.D. 2025-May-17 06:00:00.0000,1424711878.561651,-152478876.0120409,-54074094.4442189,0.4917586793334943,9.585256795711118,-0.1866852680877211
2460813.0,A.D. 2025-May-17 12:00:00.0000,1424722484.721882,-152271833.3798267,-54078125.92622455,0.4902928504379669,9.5853571245203,-0.1866000184700911
2460813.25,A.D. 2025-May-17 18:00:00.0000,1424733059.1838,-152064788.603214,-54082155.55412522,0.4888230586873942,9.585454660202439,-0.1865131794840607
2460813.5,A.D. 2025-May-18 00:00:00.0000,1424743601.837521,-151857741.8024892,-54086183.26046728,0.4873479003805482,9.585543246938538,-0.1864214577854288
2460813.75,A.D. 2025-May-18 06:00:00.0000,1424754112.61499,-151650693.2498352,-54090208.90407114,0.4858731637844008,9.585616178371206,-0.1863219809165275
2460814.0,A.D. 2025-May-18 12:00:00.0000,1424764591.630418,-151443643.2952779,-54094232.32072818,0.4844082073094732,9.585673735823699,-0.1862156977182052
2460814.25,A.D. 2025-May-18 18:00:00.0000,1424775039.15134,-151236592.2192838,-54098253.39323243,0.4829572421256103,9.585720857535499,-0.1861053595381583
2460814.5,A.D. 2025-May-19 00:00:00.0000,1424785455.483519,-151029540.2004095,-54102272.05749837,0.4815202089604182,9.585761478043684,-0.1859929350168636
2460814.75,A.D. 2025-May-19 06:00:00.0000,1424795840.920481,-150822487.3547224,-54106288.28160781,0.4800964653619658,9.585797810979301,-0.1858796405509073
2460815.0,A.D. 2025-May-19 12:00:00.0000,1424806195.730412,-150615433.7499564,-54110302.05905934,0.4786837226276713,9.585831852573918,-0.1857663806511027
2460815.25,A.D. 2025-May-19 18:00:00.0000,1424816520.115127,-150408379.4507883,-54114313.37946317,0.4772792730734808,9.58586132649855,-0.1856517314735067
2460815.5,A.D. 2025-May-20 00:00:00.0000,1424826814.28177,-150201324.6078485,-54118322.18905143,0.4758871635466338,9.585881698939067,-0.185533785797074
2460815.75,A.D. 2025-May-20 06:00:00.0000,1424837078.60256,-149994269.4133009,-54122328.42967375,0.4745172179579944,9.585895248213724,-0.1854147030434987
2460816.0,A.D. 2025-May-20 12:00:00.0000,1424847313.604364,-149787213.9023733,-54126332.13825338,0.4731716771041527,9.585912901533968,-0.1853002193006432
2460816.25,A.D. 2025-May-20 18:00:00.0000,1424857519.731888,-149580157.8902615,-54130333.45416246,0.4718418014088189,9.585942093840211,-0.1851931939804117
2460816.5,A.D. 2025-May-21 00:00:00.0000,1424867697.215052,-149373101.1343033,-54134332.52454578,0.4705185162196213,9.585980835833563,-0.1850917447361766
2460816.75,A.D. 2025-May-21 06:00:00.0000,1424877846.168409,-149166043.4891562,-54138329.43685385,0.4692004119140536,9.58602371488674,-0.184993040032325
2460817.0,A.D. 2025-May-21 12:00:00.0000,1424887966.727927,-148958984.9035992,-54142324.23336153,0.4678900683315577,9.586067513498735,-0.1848956944163609
2460817.25,A.D. 2025-May-21 18:00:00.0000,1424898059.110526,-148751925.3748749,-54146316.93983238,0.46659244199276,9.58611111098119,-0.1847996653096278
2460817.5,A.D. 2025-May-22 00:00:00.0000,1424908123.660501,-148544864.8853174,-54150307.60398214,0.4653140286329495,9.58615752755429,-0.1847072486796928
2460817.75,A.D. 2025-May-22 06:00:00.0000,1424918160.835593,-148337803.2804673,-54154296.35648558,0.4640572534396122,9.586216320585514,-0.1846235946468711
2460818.0,A.D. 2025-May-22 12:00:00.0000,1424928171.033015,-148130740.1826861,-54158283.43493346,0.4628141623636237,9.58629669985317,-0.1845525117695255
2460818.25,A.D. 2025-May-22 18:00:00.0000,1424938154.42272,-147923675.0968225,-54162269.11231987,0.4615734136644639,9.586399968782576,-0.1844934849613264
2460818.5,A.D. 2025-May-23 00:00:00.0000,1424948110.973148,-147716607.5671534,-54166253.62180831,0.4603284010495207,9.58652237932364,-0.1844440214608869
2460818.75,A.D. 2025-May-23 06:00:00.0000,1424958040.548334,-147509537.2113248,-54170237.15054961,0.4590747902880872,9.586661135480588,-0.1844023213937627
2460819.0,A.D. 2025-May-23 12:00:00.0000,1424967942.905094,-147302463.7287286,-54174219.83350214,0.457807669728462,9.586810474846787,-0.184364923993579
2460819.25,A.D. 2025-May-23 18:00:00.0000,1424977817.751124,-147095386.9926552,-54178201.71098789,0.4565286358896435,9.586960797766826,-0.1843270363656631
2460819.5,A.D. 2025-May-24 00:00:00.0000,1424987664.935087,-146888307.056358,-54182182.74425842,0.455248552125766,9.587106851202424,-0.1842869841614223
2460819.75,A.D. 2025-May-24 06:00:00.0000,1424997484.553278,-146681223.9693086,-54186162.91864164,0.4539770851231039,9.587254028286713,-0.1842483289654089
2460820.0,A.D. 2025-May-24 12:00:00.0000,1425007276.81076,-146474137.6095663,-54190142.31486013,0.4527144901121625,9.58741116922369,-0.1842155269690871
2460820.25,A.D. 2025-May-24 18:00:00.0000,1425017041.841125,-146267047.6975943,-54194121.08724768,0.4514549955267614,9.587583340836538,-0.1841906981393189
2460820.5,A.D. 2025-May-25 00:00:00.0000,1425026779.646239,-146059953.8911618,-54198099.41252039,0.4501926067041626,9.587771848947378,-0.1841740878592324
2460820.75,A.D. 2025-May-25 06:00:00.0000,1425036490.093045,-145852855.84594,-54202077.45764051,0.4489208348473814,9.587975124619147,-0.1841643053965463
2460821.0,A.D. 2025-May-25 12:00:00.0000,1425046172.938985,-145645753.3021964,-54206055.33593312,0.44763720082305,9.588187288425171,-0.1841581106754888
2460821.25,A.D. 2025-May-25 18:00:00.0000,1425055827.969512,-145438646.1229169,-54210033.10138702,0.4463465740964384,9.588404279525603,-0.1841539582161693
2460821.5,A.D. 2025-May-26 00:00:00.0000,1425065455.09878,-145231534.1706124,-54214010.82174049,0.4450537661304845,9.5886306227403,-0.1841546317731835
2460821.75,A.D. 2025-May-26 06:00:00.0000,1425075054.23549,-145024417.161362,-54217988.63752446,0.443752913685815,9.58887311788725,-0.1841629073113342
2460822.0,A.D. 2025-May-26 12:00:00.0000,1425084625.087709,-144817294.744238,-54221966.70124056,0.4424333003842739,9.589130280009067,-0.1841768854617727
2460822.25,A.D. 2025-May-26 18:00:00.0000,1425094167.186044,-144610166.6902822,-54225945.08496431,0.4410906565114136,9.589393552569566,-0.1841917965745679
2460822.5,A.D. 2025-May-27 00:00:00.0000,1425103680.060345,-144403032.9453796,-54229923.77210362,0.4397279900945941,9.589656553198934,-0.184204698757084
2460822.75,A.D. 2025-May-27 06:00:00.0000,1425113163.315114,-144195893.5527461,-54233902.70382062,0.4383486702679881,9.589916005176283,-0.1842142557279405
2460823.0,A.D. 2025-May-27 12:00:00.0000,1425122616.632601,-143988748.6181176,-54237881.79771661,0.4369569211853072,9.590169390596508,-0.1842196594462528
2460823.25,A.D. 2025-May-27 18:00:00.0000,1425132039.810321,-143781598.2760387,-54241860.96949669,0.4355589165423537,9.590417345080766,-0.1842218915309086
2460823.5,A.D. 2025-May-28 00:00:00.0000,1425141432.747652,-143574442.5850282,-54245840.183201,0.4341564434320094,9.5906657073359,-0.1842240026311797
2460823.75,A.D. 2025-May-28 06:00:00.0000,1425150795.299214,-143367281.4867431,-54249819.45497353,0.43274432528169,9.590918144976031,-0.184227210000377
2460824.0,A.D. 2025-May-28 12:00:00.0000,1425160127.191925,-143160114.9033542,-54253798.796592,0.4313170166212277,9.591172981840709,-0.1842301116935889
2460824.25,A.D. 2025-May-28 18:00:00.0000,1425169428.067734,-142952942.8218299,-54257778.17978713,0.4298720535106447,9.591426740472052,-0.18423078764306
2460824.5,A.D. 2025-May-29 00:00:00.0000,1425178697.515832,-142745765.304902,-54261757.5337339,0.4284065485335412,9.591675168663157,-0.18422679121689
2460824.75,A.D. 2025-May-29 06:00:00.0000,1425187935.083398,-142538582.5575176,-54265736.71031054,0.4269209585766408,9.591909278149068,-0.1842135374177323
2460825.0,A.D. 2025-May-29 12:00:00.0000,1425197140.429857,-142331394.9925175,-54269715.46561696,0.4254257173703637,9.592120408601856,-0.1841876130715847
2460825.25,A.D. 2025-May-29 18:00:00.0000,1425206313.522026,-142124203.1089516,-54273693.54154177,0.4239366659225882,9.592310677739208,-0.1841516190409314
2460825.5,A.D. 2025-May-30 00:00:00.0000,1425215454.585533,-141917007.2337879,-54277670.79189602,0.4224599413650845,9.592492141304676,-0.1841122426705057
2460825.75,A.D. 2025-May-30 06:00:00.0000,1425224563.839835,-141709807.4393356,-54281647.19937889,0.4209898516873332,9.5926745617409,-0.1840739493051426
2460826.0,A.D. 2025-May-30 12:00:00.0000,1425233641.331939,-141502603.6702881,-54285622.79719093,0.4195178022755151,9.59286001501929,-0.1840371097591222
2460826.25,A.D. 2025-May-30 18:00:00.0000,1425242686.950815,-141295395.8773522,-54289597.60301758,0.4180377049149601,9.593046635903075,-0.1840002709903685
2460826.5,A.D. 2025-May-31 00:00:00.0000,1425251700.472835,-141088184.0830202,-54293571.58763006,0.4165456267121813,9.593229385775132,-0.1839604699336004
2460826.75,A.D. 2025-May-31 06:00:00.0000,1425260681.648841,-140880968.4436836,-54297544.65096634,0.4150435961190247,9.59340175533172,-0.1839146042335487
2460827.0,A.D. 2025-May-31 12:00:00.0000,1425269630.335123,-140673749.2187523,-54301516.65152162,0.4135384914545343,9.593561726318,-0.1838623507089192
2460827.25,A.D. 2025-May-31 18:00:00.0000,1425278546.511997,-140466526.6326988,-54305487.47716008,0.4120331054456375,9.593713849551666,-0.1838061983155881
