JDTDB,Calendar_Date,X,Y,Z,VX,VY,VZ
2460810.5,A.D. 2025-May-15 00:00:00.0000,-711901.4403671544,-792165.9620839548,24387.17322671606,0.01256984807247097,-0.003792071425840317,-0.0002197259451215874
2460810.75,A.D. 2025-May-15 06:00:00.0000,-711629.9281018263,-792247.831016685,24382.42652142007,0.01257017741710882,-0.003788385076328396,-0.0002197838311007183
2460811.0,A.D. 2025-May-15 12:00:00.0000,-711358.4086629726,-792329.6203088325,24377.67856409558,0.0125705122842639,-0.003784697279591741,-0.0002198418721942705
2460811.25,A.D. 2025-May-15 18:00:00.0000,-711086.8819315471,-792411.3299279513,24372.92935148987,0.01257085265119485,-0.003781007925596115,-0.0002199000593050844
2460811.5,A.D. 2025-May-16 00:00:00.0000,-710815.347789027,-792492.9598392062,24368.17888055026,0.01257119849217514,-0.003777316903211732,-0.0002199583829817578
2460811.75,A.D. 2025-May-16 06:00:00.0000,-710543.8061174788,-792574.5100053503,24363.42714843235,0.01257154977836531,-0.00377362410028381,-0.0002200168334126102
2460812.0,A.D. 2025-May-16 12:00:00.0000,-710272.2567996263,-792655.9803867044,24358.67415250739,0.01257190647768357,-0.003769929403711393,-0.0002200754004201496
2460812.25,A.D. 2025-May-16 18:00:00.0000,-710000.6997189228,-792737.3709411361,24353.91989037069,0.01257226855467504,-0.003766232699534859,-0.0002201340734561425
2460812.5,A.D. 2025-May-17 00:00:00.0000,-709729.1347596247,-792818.6816240437,24349.16435984924,0.01257263597038015,-0.003762533873032561,-0.0002201928415973473
2460812.75,A.D. 2025-May-17 06:00:00.0000,-709457.5618068695,-792899.9123883399,24344.4075590102,0.01257300868220256,-0.00375883280882706,-0.0002202516935419824
2460813.0,A.D. 2025-May-17 12:00:00.0000,-709185.9807467544,-792981.0631844391,24339.64948616893,0.01257338664377717,-0.003755129391001403,-0.0002203106176070335
2460813.25,A.D. 2025-May-17 18:00:00.0000,-708914.391466421,-793062.1339602475,24334.89013989712,0.01257376980483877,-0.003751423503225889,-0.0002203696017264686
2460813.5,A.D. 2025-May-18 00:00:00.0000,-708642.793854139,-793143.1246611553,24330.12951903144,0.01257415811109195,-0.00374771502889581,-0.0002204286334504659
2460813.75,A.D. 2025-May-18 06:00:00.0000,-708371.1877993962,-793224.035230032,24325.36762268154,0.01257455150408283,-0.003744003851280612,-0.0002204876999457477
2460814.0,A.D. 2025-May-18 12:00:00.0000,-708099.5731929888,-793304.8656072266,24320.60445023852,0.0125749499210735,-0.003740289853684967,-0.0002205467879971314
2460814.25,A.D. 2025-May-18 18:00:00.0000,-707827.9499271155,-793385.6157305687,24315.84000138269,0.01257535329491975,-0.003736572919622202,-0.0002206058840103931
2460814.5,A.D. 2025-May-19 00:00:00.0000,-707556.3178954738,-793466.2855353757,24311.07427609235,0.0125757615539531,-0.003732852933000577,-0.0002206649740165774
2460814.75,A.D. 2025-May-19 06:00:00.0000,-707284.6769933596,-793546.8749544641,24306.30727465154,0.01257617462186781,-0.003729129778322891,-0.0002207240436778528
2460815.0,A.D. 2025-May-19 12:00:00.0000,-707013.0271177676,-793627.3839181634,24301.53899765777,0.0125765924176141,-0.003725403340899872,-0.0002207830782950566
2460815.25,A.D. 2025-May-19 18:00:00.0000,-706741.3681674955,-793707.8123543366,24296.76944602985,0.01257701485529823,-0.003721673507077839,-0.0002208420628170523
2460815.5,A.D. 2025-May-20 00:00:00.0000,-706469.7000432495,-793788.1601884055,24291.99862101546,0.0125774418440909,-0.003717940164481122,-0.0002209009818520383
2460815.75,A.D. 2025-May-20 06:00:00.0000,-706198.0226477517,-793868.4273433806,24287.22652419843,0.01257787328814482,-0.003714203202269694,-0.0002209598196809507
2460816.0,A.D. 2025-May-20 12:00:00.0000,-705926.3358858493,-793948.6137398968,24282.45315750531,0.01257830908652285,-0.003710462511412508,-0.000221018560273119
2460816.25,A.D. 2025-May-20 18:00:00.0000,-705654.6396646253,-794028.7192962569,24277.67852321221,0.01257874913313786,-0.003706717984976996,-0.0002210771873043188
